TIME	TEMP	"// code=dec2hex(floor((i+273.15)*4096/503.975))
"	
2000	0	//	8AB
3000	1	//	8B4
4000	2	//	8BC
5000	3	//	8C4
6000	4	//	8CC
7000	5	//	8D4
8000	6	//	8DC
9000	7	//	8E4
10000	8	//	8ED
11000	9	//	8F5
12000	10	//	8FD
13000	11	//	905
14000	12	//	90D
15000	13	//	915
16000	14	//	91D
17000	15	//	925
18000	16		
19000	17		
20000	18		
21000	19		
22000	20		
23000	21		
24000	22		
25000	23		
26000	24		
27000	25		
28000	26		
29000	27		
30000	28		
31000	29		
32000	30		
33000	31		
34000	32		
35000	33		
36000	34		
37000	35		
38000	36		
39000	37		
40000	38		
41000	39		
42000	40		
43000	41		
44000	42		
45000	43		
46000	44		
47000	45		
48000	46		
49000	47		
50000	48		
51000	49		
52000	50		
53000	51		
54000	52		
55000	53		
56000	54		
57000	55		
58000	56		
59000	57		
60000	58		
61000	59		
62000	60		
63000	61		
64000	62		
65000	63		
66000	64		
67000	65		
68000	66		
69000	67		
70000	68		
71000	69		
72000	70		
73000	71		
74000	72		
75000	73		
76000	74		
77000	75		
78000	76		
79000	77		
80000	78		
81000	79		
82000	80		
83000	81		
84000	82		
85000	83		
86000	84		
87000	85		
88000	86		
89000	87		
90000	88		
91000	89		
92000	90		
93000	91		
94000	92		
95000	93		
96000	94		
97000	95		
98000	96		
99000	97		
100000	98		
101000	99		
102000	100		
103000	99		
104000	98		
105000	97		
106000	96		
107000	95		
108000	94		
109000	93		
110000	92		
111000	91		
112000	90		
113000	89		
114000	88		
115000	87		
116000	86		
117000	85		
118000	84		
119000	83		
120000	82		
121000	81		
122000	80		
123000	79		
124000	78		
125000	77		
126000	76		
127000	75		
128000	74		
129000	73		
130000	72		
131000	71		
132000	70		
133000	69		
134000	68		
135000	67		
136000	66		
137000	65		
138000	64		
139000	63		
140000	62		
141000	61		
142000	60		
143000	59		
144000	58		
145000	57		
146000	56		
147000	55		
148000	54		
149000	53		
150000	52		
151000	51		
152000	50		
153000	49		
154000	48		
155000	47		
156000	46		
157000	45		
158000	44		
159000	43		
160000	42		
161000	41		
162000	40		
163000	39		
164000	38		
165000	37		
166000	36		
167000	35		
168000	34		
169000	33		
170000	32		
171000	31		
172000	30		
173000	29		
174000	28		
175000	27		
176000	26		
177000	25		
178000	24		
179000	23		
180000	22		
181000	21		
182000	20		
183000	19		
184000	18		
185000	17		
186000	16		
187000	15		
188000	14		
189000	13		
190000	12		
191000	11		
192000	10		
193000	9		
194000	8		
195000	7		
196000	6		
197000	5		
198000	4		
199000	3		
200000	2		
201000	1		
202000	0		
