-0.0066, -0.0060, -0.0053, -0.0045, -0.0035, -0.0025, -0.0014, -0.0002, 0.0011, 0.0024,
0.0037, 0.0051, 0.0064, 0.0078, 0.0091, 0.0104, 0.0116, 0.0127, 0.0137, 0.0146,
0.0153, 0.0159, 0.0164, 0.0166, 0.0167, 0.0165, 0.0161, 0.0156, 0.0148, 0.0137,
0.0125, 0.0111, 0.0094, 0.0075, 0.0055, 0.0032, 0.0009, -0.0016, -0.0043, -0.0070,
-0.0097, -0.0125, -0.0153, -0.0181, -0.0208, -0.0234, -0.0258, -0.0281, -0.0301, -0.0320,
-0.0335, -0.0347, -0.0356, -0.0361, -0.0362, -0.0359, -0.0352, -0.0339, -0.0322, -0.0300,
-0.0273, -0.0241, -0.0203, -0.0161, -0.0114, -0.0061, -0.0005, 0.0057, 0.0123, 0.0192,
0.0265, 0.0342, 0.0421, 0.0503, 0.0586, 0.0671, 0.0757, 0.0844, 0.0930, 0.1016,
0.1100, 0.1183, 0.1264, 0.1341, 0.1415, 0.1486, 0.1552, 0.1613, 0.1669, 0.1719,
0.1764, 0.1802, 0.1834, 0.1858, 0.1876, 0.1887, 0.1891, 0.1887, 0.1876, 0.1858,
0.1834, 0.1802, 0.1764, 0.1719, 0.1669, 0.1613, 0.1552, 0.1486, 0.1415, 0.1341,
0.1264, 0.1183, 0.1100, 0.1016, 0.0930, 0.0844, 0.0757, 0.0671, 0.0586, 0.0503,
0.0421, 0.0342, 0.0265, 0.0192, 0.0123, 0.0057, -0.0005, -0.0061, -0.0114, -0.0161,
-0.0203, -0.0241, -0.0273, -0.0300, -0.0322, -0.0339, -0.0352, -0.0359, -0.0362, -0.0361,
-0.0356, -0.0347, -0.0335, -0.0320, -0.0301, -0.0281, -0.0258, -0.0234, -0.0208, -0.0181,
-0.0153, -0.0125, -0.0097, -0.0070, -0.0043, -0.0016, 0.0009, 0.0032, 0.0055, 0.0075,
0.0094, 0.0111, 0.0125, 0.0137, 0.0148, 0.0156, 0.0161, 0.0165, 0.0167, 0.0166,
0.0164, 0.0159, 0.0153, 0.0146, 0.0137, 0.0127, 0.0116, 0.0104, 0.0091, 0.0078,
0.0064, 0.0051, 0.0037, 0.0024, 0.0011, -0.0002, -0.0014, -0.0025, -0.0035, -0.0045,
-0.0053, -0.0060, -0.0066
